fit_time,score_time,test_accuracy,test_f1,test_roc_auc,classifier,dataset
23.04693341255188,0.029223918914794922,0.5268414481897628,0.5338253382533825,0.5467082294264339,LGBMClassifier(),paintype
23.18498992919922,0.02912759780883789,0.5305867665418227,0.5311720698254364,0.5460847880299252,LGBMClassifier(),paintype
23.356820344924927,0.028771400451660156,0.5305867665418227,0.5358024691358024,0.5329052369077307,LGBMClassifier(),paintype
23.185620307922363,0.03001546859741211,0.5493133583021224,0.5389527458492976,0.564713216957606,LGBMClassifier(),paintype
0.0165860652923584,0.5390605926513672,0.4918851435705368,0.48284625158831007,0.49611284289276814,KNeighborsClassifier(n_neighbors=3),paintype
0.016427040100097656,0.5383615493774414,0.5006242197253433,0.5145631067961165,0.5017051122194514,KNeighborsClassifier(n_neighbors=3),paintype
0.016447067260742188,0.537153959274292,0.4893882646691635,0.5113500597371565,0.4885723192019949,KNeighborsClassifier(n_neighbors=3),paintype
0.01642632484436035,0.5369906425476074,0.5006242197253433,0.5203836930455636,0.49517768079800495,KNeighborsClassifier(n_neighbors=3),paintype
22.340850830078125,1.351938009262085,0.5493133583021224,0.5526641883519208,0.5739650872817956,"SVC(C=0.025, kernel='linear', probability=True)",paintype
21.876476287841797,1.2675631046295166,0.5081148564294632,0.511166253101737,0.5345760598503742,"SVC(C=0.025, kernel='linear', probability=True)",paintype
21.835773944854736,1.279768466949463,0.5443196004993758,0.5385587863463969,0.5493765586034912,"SVC(C=0.025, kernel='linear', probability=True)",paintype
21.984724521636963,1.2865970134735107,0.5205992509363296,0.5211970074812967,0.5321695760598504,"SVC(C=0.025, kernel='linear', probability=True)",paintype
1.5005714893341064,0.007547855377197266,0.49313358302122345,0.4962779156327543,0.4886596009975063,DecisionTreeClassifier(max_depth=5),paintype
1.5663418769836426,0.0074956417083740234,0.5168539325842697,0.5320435308343411,0.5070885286783043,DecisionTreeClassifier(max_depth=5),paintype
1.518498420715332,0.007413387298583984,0.5106117353308365,0.49743589743589745,0.5138996259351621,DecisionTreeClassifier(max_depth=5),paintype
1.5132660865783691,0.007449626922607422,0.49563046192259674,0.5280373831775701,0.501885910224439,DecisionTreeClassifier(max_depth=5),paintype
2.5596213340759277,0.0424346923828125,0.5555555555555556,0.580188679245283,0.5613653366583541,RandomForestClassifier(max_depth=5),paintype
2.5559821128845215,0.04322457313537598,0.5243445692883895,0.5347985347985348,0.5389775561097256,RandomForestClassifier(max_depth=5),paintype
2.5420563220977783,0.042799949645996094,0.5268414481897628,0.5525383707201889,0.5320324189526184,RandomForestClassifier(max_depth=5),paintype
2.5821402072906494,0.04241752624511719,0.5205992509363296,0.5235732009925559,0.5360286783042394,RandomForestClassifier(max_depth=5),paintype
17.098745346069336,0.16020822525024414,0.5218476903870163,0.5158027812895071,0.5343266832917706,AdaBoostClassifier(),paintype
17.101608276367188,0.1604328155517578,0.5555555555555556,0.5637254901960784,0.5638029925187031,AdaBoostClassifier(),paintype
17.11445188522339,0.1593925952911377,0.5280898876404494,0.5344827586206897,0.5360411471321695,AdaBoostClassifier(),paintype
17.125778436660767,0.16178536415100098,0.49563046192259674,0.48860759493670886,0.5231857855361596,AdaBoostClassifier(),paintype
2.8206655979156494,0.4898378849029541,0.5205992509363296,0.5025906735751297,0.5318765586034913,QuadraticDiscriminantAnalysis(),paintype
2.728102922439575,0.4876561164855957,0.5280898876404494,0.5344827586206896,0.5451995012468828,QuadraticDiscriminantAnalysis(),paintype
